[00:00 - 00:03] はいではゲスト号司によるこの後特別講義に入ります
[00:03 - 00:06] 僕はですねあのジュラン君で呼んでるんですけど
[00:06 - 00:09] 彼からですねやっぱりインスタの運用をですね
[00:09 - 00:14] 教わってからやっぱり広告に好影響すごい影響がいい影響が出てるんですね
[00:14 - 00:15] で
[00:15 - 00:17] ぜひそれを皆さんもね
[00:17 - 00:21] 体験してほしいので特別にお招きしてですね講義をしていただけることになりましたので
[00:21 - 00:24] 今から拍手でお迎えをしたいと思います
[00:24 - 00:26] 準備は大丈夫ですか
[00:26 - 00:26] はい
[00:26 - 00:28] お予告さんよろしくお願いします
[00:28 - 00:30] 拍手
[00:34 - 00:36] はいということでお待たせしました
[00:36 - 00:37] えっと改めて
[00:37 - 00:39] 廊下インクという会社やってます
[00:39 - 00:40] おやけしょうたと申します
[00:40 - 00:42] その時はよろしくお願いします
[00:42 - 00:46] じゃあ今日はリスト運用するのにフォロワー運用はしないのみたいな
[00:46 - 00:49] なんかちょっと若干なんだろうな
[00:49 - 00:53] キャッチなというかテーマでやっていこうと思っていて
[00:53 - 00:58] えっとインスタグラムのオーガニックの運用っていうところを
[00:58 - 01:02] 本当にちょっとやるだけというか皆さんメタ広告たくさんやられていて
[01:02 - 01:08] 結構な金額回されてる方もいたりとかするっていうお話を聞いているので
[01:08 - 01:12] なんかインスタグラムのオーガニックの構築だったりとか
[01:12 - 01:17] リールのレベルをちょっと上げたりとかストーリーのやり方をちょっと覚えて
[01:17 - 01:19] 配信したりだとかっていうふうにして
[01:19 - 01:25] せっかく回した広告をどうにかしてもっと効率を上げて
[01:25 - 01:32] その最小効率でそこのせっかく取ったフォロワーさんだったりとかにアプローチしていくみたいな
[01:32 - 01:39] そんなやり方があれば広告の数値が改善していくロアスが2倍になるみたいな
[01:39 - 01:42] 全然ありえるんじゃないかなというふうに思うので
[01:42 - 01:48] それを今日はどんなふうにやればいいのかみたいなところを喋っていこうかなというふうに思います
[01:48 - 01:54] まず自己紹介というところでそもそもなんでそんな話を僕ができるのかみたいな話からちょっとさせてください
[01:54 - 02:00] 今自分がこのアカウントフォロワーが2万人ぐらいなんですけど
[02:00 - 02:06] 全然いないんですけど8月ぐるめという東京都の8月市というところでぐるめアカウント
[02:06 - 02:09] ぐるめの発信のアカウントをしていますと
[02:09 - 02:14] これだけだったら別にそんなに普通だと思うんですけど
[02:14 - 02:17] このような地域のアカウントっていうのを
[02:17 - 02:24] 僕は全国で類型の市善先のアカウントで170万人ぐらいフォロワーがいるという感じで
[02:24 - 02:32] 合計今80アカウントぐらいここ1年半だけで80個ぐらい0から1万人フォロワーまで持っていって
[02:32 - 02:39] そこから商品を何かローンズしたりとか地域の店舗の支援をしたりとかみたいな感じで
[02:39 - 02:45] まず伸ばすというところとそこの伸ばしたフォロワーさん入ってきたフォロワーさんに対して
[02:45 - 02:52] どうやって来店させるかとかどうやって無形商材買ってもらうかみたいな教育みたいなところを
[02:52 - 02:57] インスタグラム専門でやっているみたいな人になりますと
[02:57 - 03:05] 得意なフェーズとしては2つありまして1つ目がアカウント伸ばすというところつまりリールつけるのがめちゃくちゃ得意です
[03:05 - 03:11] 1分点作したものが一瞬で数十万歳生出るなんてことが100回以上あるので
[03:11 - 03:20] リールの点作というところが死ぬほど得意ですなので点作したアカウント僕たちのローカリンクっていうところの講座に入っていただいた方で
[03:20 - 03:28] 地域系のアカウントだったら大体3ヶ月から半年以内にほぼ全員1万人フォロワー達成するみたいな感じ
[03:28 - 03:31] 未経験からでもそのぐらい行くみたいな感じで
[03:31 - 03:38] 結構リールつけるっていうところはめちゃくちゃ得意ですなので今日そんなにリールの話をしないと
[03:38 - 03:47] 思うんですけどこの後の今晩会とか質問とかでちょっとリールとかぜひ聞いていただければなというふうに思ってます
[03:47 - 03:57] 2つ目が教育みたいなところでどうやって来店させるかとかどうやって無形賞で買ってもらうかみたいな感じで
[03:57 - 04:07] インスタグラム上で教育をかけるみたいな広告から直接lpに飛んでみたいなところにいたらなかった人たちをどうするかみたいな感じのところ
[04:07 - 04:12] この2つのフェーズが得意になっているというような形です
[04:12 - 04:21] で僕の活動というかなんかそういうノーハウ的なところはそういうところなんですけど全体的な活動としては僕は中野県の
[04:22 - 04:29] 街づくりというところのそもそものコンサルティングみたいなのを入らせていただいていてつまり長野県に
[04:29 - 04:39] インフレンサー100人同時に呼んで長野県のPRをするみたいなそんなプロジェクトとかをどうやったら長野県そうやって盛り上がるんだっけ人が来るんだっけ
[04:39 - 04:50] みたいなところをプロジェクトとしてやらせていただいて今年の頭が長野県が実はコナンの映画のロケッチだったんですけど
[04:50 - 05:03] そのおかげでめちゃくちゃ人が来るっていうタイミングでブースをたくさん置いたりスタンプラリーみたいな企画を僕たちから提案させていただいてそれをインフレンサーでバーンって広めた結果
[05:03 - 05:13] まだ数字としては出てないんですけど本当に去年より全然来る来訪者数来県者数がめちゃくちゃ上がってるっていうようなところで
[05:13 - 05:22] SNSからどうやって待ちつくっていくのみたいなそういう大枠みたいなところもちょっと普段やらせていただいているみたいな形になってます
[05:22 - 05:28] あとはこういう自治体のSNSみたいなところも10アカウントぐらいやってたりとかっていうところですと
[05:28 - 05:33] あとは今日の話すメインのところですね店舗だったりとか
[05:33 - 05:39] 無形だったりとかのインスタグラム系のウェブの集客っていうところをやらせていただいているっていうような形になってます
[05:39 - 05:49] 店舗の実績でいくとこういう感じでカフェバーのオープンの時にここがインスタ経由で売り上げを100万っていうふうに書いてあるんですけど
[05:49 - 05:59] これどういうことかっていうと住所非公開のお店っていうコンセプトにしていてなのでつまりはインスタグラム以外は
[05:59 - 06:07] 認知の同戦がないしもはや住所もDMで聞かないと分かんないみたいなところをやらせていただいて
[06:07 - 06:13] 広告費5万円ぐらいしか使ってないんですけどフォルワーが一気に3,000人ぐらいに増やして
[06:13 - 06:19] それでオープン1ヶ月目で売り上げが愛媛の松山っていうところの本当に地方都市なので
