Subject,サービス名,SMS認証,電話番号入力,メールのみ登録可,本人確認（eKYC）,クレカ情報,ウェブ自動完結可能,登録に必要な情報,備考,情報ソースURL,Error
タイミー（Timee）,タイミー,必須,必須,,必須,不要,,携帯電話番号（SMS認証）、生年月日、氏名、フリガナ、性別、プロフィール画像、住所、本人確認書類,タイミーの登録には、SMS認証と本人確認書類の提出が必須です。そのため、ウェブだけで完結することはできず、メールアドレスのみでの登録も不可能です。,https://worker-help.timee.co.jp/hc/ja/articles/33685293405977-%E5%88%9D%E6%9C%9F%E8%A8%AD%E5%AE%9A,
シェアフル（Sharefull）,シェアフル（Sharefull）,必須,必須,,必須,不要,,メールアドレス、パスワード、氏名、性別、生年月日、住所、電話番号、経験職種、口座情報、本人確認書類、顔写真,登録はスマートフォンアプリからのみ可能で、PCやタブレットからの登録はできません。仮登録の段階でSMS認証が必須であり、本登録の段階で本人確認書類の提出（eKYC）が必須となります。,https://support.sharefull.com/hc/ja/articles/360020282613-%E3%83%80%E3%82%A6%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%89%E3%81%8B%E3%82%89%E4%BB%AE%E7%99%BB%E9%8C%B2%E3%81%AE%E6%89%8B%E9%A0%86,
CoupLink（カップリンク）,CoupLink（カップリンク）,必須,必須,,不要,不要,,メールアドレス、パスワード、電話番号、公的身分証明書,会員登録自体はメールアドレスまたは電話番号で開始できますが、メッセージ機能の利用にはSMS認証が必須です。また、年齢確認のために公的身分証明書の提出が必要です。,https://support.couplink.jp/hc/ja/articles/900003527426--CoupLink%E6%96%B0%E8%A6%8F%E7%99%BB%E9%8C%B2%E6%89%8B%E9%A0%86-%E3%83%A1%E3%83%BC%E3%83%AB%E3%82%A2%E3%83%89%E3%83%AC%E3%82%B9,
タップル（tapple）,タップル（tapple）,不要,不要,,任意,不要,,LINEアカウント、Appleアカウント、Googleアカウント、または電話番号のいずれか。メッセージ交換には本人確認書類の提出が必須。,新規会員登録はアプリ版からのみ可能。ブラウザ版はログイン専用。登録方法によっては電話番号やSMS認証は不要だが、メッセージ交換など主要機能の利用には本人確認（eKYC）が必須となる。,https://support.tapple.me/hc/ja/articles/25465582278169-%E3%81%94%E7%99%BB%E9%8C%B2%E6%96%B9%E6%B3%95,
ペアーズ（Pairs）,ペアーズ（Pairs）,必須,必須,,必須,任意,,ニックネーム、性別、居住地、生年月日、メールアドレスまたは電話番号、本人確認書類,登録方法が複数あるが、いずれの方法を選択しても、メッセージ交換機能を利用するには本人確認（eKYC）が必須となる。電話番号での登録やLINEでの登録ではSMS認証が求められる。,https://deai.app-liv.jp/archive/154570/,
with（ウィズ）マッチングアプリ,with（ウィズ）マッチングアプリ,必須,必須,,必須,不要,,ニックネーム、性別、生年月日、居住地、パスワード、そしてLINE、Facebook、電話番号、Apple IDのいずれかによる認証,登録方法として、LINE、Facebook、電話番号（SMS認証）、Apple IDの4種類がある。メールアドレスのみでの登録は不可。メッセージ交換には、別途、公的証明書による本人確認（eKYC）が必須となる。,https://deai.app-liv.jp/archive/123430/,
ココナラ,ココナラ,不要,任意,True,不要,不要,True,"メールアドレス, パスワード, ユーザー名, 生年月日, 都道府県, 登録目的",会員登録自体はメールアドレスとパスワードのみで完了する。ただし、公開募集機能（依頼・提案）の利用にはSMS認証が必須となるため、実質的なサービス利用には電話番号がほぼ必須と言える。,https://coconala.com/news/889,
SKIMA,SKIMA,必須,必須,,不要,不要,,メールアドレス、パスワード、ニックネーム、電話番号,会員登録自体はメールアドレスとパスワードのみで可能ですが、メッセージの送受信や取引など、ほとんどの機能を利用するにはSMS認証が必須です。そのため、実質的には電話番号が必須となります。,https://xn--eckhu0e2b3a6i6dsh.net/how-to-member-registration-to-skima/,
タイムチケット,タイムチケット,不要,不要,True,任意,任意,True,メールアドレス、パスワード、ユーザーネーム、ユーザーID,会員登録自体はメールアドレスとパスワードのみで完了可能。ただし、チケットを販売して収益を得るためには、本人確認書類の提出が必須となる。購入のみの場合は本人確認は不要。,https://happy-shopping.tokyo/time-ticket/,
カリトケ（KARITOKE）時計レンタル,カリトケ（KARITOKE）時計レンタル,不要,必須,,必須,必須,,メールアドレス、パスワード、氏名、生年月日、電話番号、クレジットカード情報、勤務先情報、本人確認書類,無料会員登録はメールアドレスとパスワードのみで可能。レンタルサービスを利用するには、追加で個人情報、クレジットカード情報、本人確認書類の提出、および電話での本人確認が必要。SMS認証はないが、電話での確認が必須のためウェブ上での自動登録は完結しない。,https://subsc-style.jp/karitoke-shinsa/,
